orif_util,tha_util,inmb
0.2,0.2,35275302.68600106
0.2175,0.2,29129469.77193161
0.23500000000000001,0.2,22983636.85786212
0.2525,0.2,16837803.94379264
0.27,0.2,10691971.029723208
0.2875,0.2,4546138.115653751
0.305,0.2,-1599694.7984156813
0.3225,0.2,-7745527.712485205
0.33999999999999997,0.2,-13891360.626554638
0.3575,0.2,-20037193.54062407
0.375,0.2,-26183026.45469355
0.39249999999999996,0.2,-32328859.368763007
0.41,0.2,-38474692.282832436
0.4275,0.2,-44620525.19690192
0.44499999999999995,0.2,-50766358.11097133
0.46249999999999997,0.2,-56912191.02504085
0.48,0.2,-63058023.93911034
0.4975,0.2,-69203856.85317977
0.5149999999999999,0.2,-75349689.76724927
0.5325,0.2,-81495522.6813187
0.55,0.2,-87641355.59538813
0.5674999999999999,0.2,-93787188.50945759
0.585,0.2,-99933021.42352706
0.6025,0.2,-106078854.33759664
0.6199999999999999,0.2,-112224687.25166602
0.6375,0.2,-118370520.16573554
0.655,0.2,-124516353.07980499
0.6725,0.2,-130662185.99387446
0.69,0.2,-136808018.90794384
0.7075,0.2,-142953851.82201332
0.7249999999999999,0.2,-149099684.73608276
0.7424999999999999,0.2,-155245517.65015224
0.76,0.2,-161391350.56422162
0.7774999999999999,0.2,-167537183.47829115
0.7949999999999999,0.2,-173683016.39236054
0.8125,0.2,-179828849.30643007
0.8299999999999998,0.2,-185974682.22049958
0.8474999999999999,0.2,-192120515.13456896
0.865,0.2,-198266348.0486384
0.8824999999999998,0.2,-204412180.9627078
0.9,0.2,-210558013.87677735
0.2,0.2175,41023061.96974418
0.2175,0.2175,34877229.05567473
0.23500000000000001,0.2175,28731396.14160525
0.2525,0.2175,22585563.227535762
0.27,0.2175,16439730.313466314
0.2875,0.2175,10293897.399396881
0.305,0.2175,4148064.485327403
0.3225,0.2175,-1997768.4287420753
0.33999999999999997,0.2175,-8143601.34281151
0.3575,0.2175,-14289434.256880987
0.375,0.2175,-20435267.170950443
0.39249999999999996,0.2175,-26581100.0850199
0.41,0.2175,-32726932.999089353
0.4275,0.2175,-38872765.91315881
0.44499999999999995,0.2175,-45018598.82722824
0.46249999999999997,0.2175,-51164431.741297744
0.48,0.2175,-57310264.65536718
0.4975,0.2175,-63456097.569436684
0.5149999999999999,0.2175,-69601930.48350608
0.5325,0.2175,-75747763.39757562
0.55,0.2175,-81893596.31164518
0.5674999999999999,0.2175,-88039429.2257145
0.585,0.2175,-94185262.13978402
0.6025,0.2175,-100331095.05385347
0.6199999999999999,0.2175,-106476927.96792294
0.6375,0.2175,-112622760.88199237
0.655,0.2175,-118768593.7960619
0.6725,0.2175,-124914426.71013129
0.69,0.2175,-131060259.62420076
0.7075,0.2175,-137206092.5382702
0.7249999999999999,0.2175,-143351925.45233968
0.7424999999999999,0.2175,-149497758.366409
0.76,0.2175,-155643591.2804787
0.7774999999999999,0.2175,-161789424.1945481
0.7949999999999999,0.2175,-167935257.10861748
0.8125,0.2175,-174081090.022687
0.8299999999999998,0.2175,-180226922.9367564
0.8474999999999999,0.2175,-186372755.8508258
0.865,0.2175,-192518588.76489526
0.8824999999999998,0.2175,-198664421.67896476
0.9,0.2175,-204810254.5930343
0.2,0.23500000000000001,46770821.25348733
0.2175,0.23500000000000001,40624988.33941786
0.23500000000000001,0.23500000000000001,34479155.42534838
0.2525,0.23500000000000001,28333322.511278946
0.27,0.23500000000000001,22187489.597209446
0.2875,0.23500000000000001,16041656.683140012
0.305,0.23500000000000001,9895823.769070534
0.3225,0.23500000000000001,3749990.8550011236
0.33999999999999997,0.23500000000000001,-2395842.0590683557
0.3575,0.23500000000000001,-8541674.973137833
0.375,0.23500000000000001,-14687507.887207292
0.39249999999999996,0.23500000000000001,-20833340.801276747
0.41,0.23500000000000001,-26979173.715346247
0.4275,0.23500000000000001,-33125006.629415683
0.44499999999999995,0.23500000000000001,-39270839.54348511
0.46249999999999997,0.23500000000000001,-45416672.45755459
0.48,0.23500000000000001,-51562505.371624045
0.4975,0.23500000000000001,-57708338.285693556
0.5149999999999999,0.23500000000000001,-63854171.199762955
0.5325,0.23500000000000001,-70000004.11383241
0.55,0.23500000000000001,-76145837.02790189
0.5674999999999999,0.23500000000000001,-82291669.94197135
0.585,0.23500000000000001,-88437502.85604084
0.6025,0.23500000000000001,-94583335.77011035
0.6199999999999999,0.23500000000000001,-100729168.68417974
0.6375,0.23500000000000001,-106875001.59824932
0.655,0.23500000000000001,-113020834.5123187
0.6725,0.23500000000000001,-119166667.42638813
0.69,0.23500000000000001,-125312500.34045756
0.7075,0.23500000000000001,-131458333.25452703
0.7249999999999999,0.23500000000000001,-137604166.16859657
0.7424999999999999,0.23500000000000001,-143749999.082666
0.76,0.23500000000000001,-149895831.9967355
0.7774999999999999,0.23500000000000001,-156041664.91080487
0.7949999999999999,0.23500000000000001,-162187497.82487434
0.8125,0.23500000000000001,-168333330.73894387
0.8299999999999998,0.23500000000000001,-174479163.6530132
0.8474999999999999,0.23500000000000001,-180624996.56708273
0.865,0.23500000000000001,-186770829.48115227
0.8824999999999998,0.23500000000000001,-192916662.3952216
0.9,0.23500000000000001,-199062495.3092911
0.2,0.2525,52518580.53723049
0.2175,0.2525,46372747.62316105
0.23500000000000001,0.2525,40226914.70909157
0.2525,0.2525,34081081.79502208
0.27,0.2525,27935248.88095264
0.2875,0.2525,21789415.96688314
0.305,0.2525,15643583.052813731
0.3225,0.2525,9497750.138744254
0.33999999999999997,0.2525,3351917.2246748433
0.3575,0.2525,-2793915.689394705
0.375,0.2525,-8939748.603464138
0.39249999999999996,0.2525,-15085581.517533526
0.41,0.2525,-21231414.431603007
0.4275,0.2525,-27377247.34567248
0.44499999999999995,0.2525,-33523080.259741962
0.46249999999999997,0.2525,-39668913.17381144
0.48,0.2525,-45814746.087880895
0.4975,0.2525,-51960579.00195033
0.5149999999999999,0.2525,-58106411.91601981
0.5325,0.2525,-64252244.830089316
0.55,0.2525,-70398077.74415879
0.5674999999999999,0.2525,-76543910.65822813
0.585,0.2525,-82689743.57229769
0.6025,0.2525,-88835576.48636714
0.6199999999999999,0.2525,-94981409.40043652
0.6375,0.2525,-101127242.31450604
0.655,0.2525,-107273075.22857557
0.6725,0.2525,-113418908.142645
0.69,0.2525,-119564741.05671439
0.7075,0.2525,-125710573.97078392
0.7249999999999999,0.2525,-131856406.8848533
0.7424999999999999,0.2525,-138002239.79892278
0.76,0.2525,-144148072.71299222
0.7774999999999999,0.2525,-150293905.62706164
0.7949999999999999,0.2525,-156439738.54113132
0.8125,0.2525,-162585571.45520064
0.8299999999999998,0.2525,-168731404.36927003
0.8474999999999999,0.2525,-174877237.2833395
0.865,0.2525,-181023070.19740903
0.8824999999999998,0.2525,-187168903.1114784
0.9,0.2525,-193314736.025548
0.2,0.27,58266339.820973635
0.2175,0.27,52120506.906904176
0.23500000000000001,0.27,45974673.99283471
0.2525,0.27,39828841.07876524
0.27,0.27,33683008.1646958
0.2875,0.27,27537175.250626385
0.305,0.27,21391342.336556908
0.3225,0.27,15245509.422487384
0.33999999999999997,0.27,9099676.508417951
0.3575,0.27,2953843.5943485163
0.375,0.27,-3191989.3197209835
0.39249999999999996,0.27,-9337822.233790439
0.41,0.27,-15483655.147859849
0.4275,0.27,-21629488.061929308
0.44499999999999995,0.27,-27775320.975998856
0.46249999999999997,0.27,-33921153.89006826
0.48,0.27,-40066986.80413777
0.4975,0.27,-46212819.71820722
0.5149999999999999,0.27,-52358652.6322767
0.5325,0.27,-58504485.54634611
0.55,0.27,-64650318.460415676
0.5674999999999999,0.27,-70796151.37448502
0.585,0.27,-76941984.28855455
0.6025,0.27,-83087817.20262407
0.6199999999999999,0.27,-89233650.1166934
0.6375,0.27,-95379483.0307629
0.655,0.27,-101525315.94483232
0.6725,0.27,-107671148.85890189
0.69,0.27,-113816981.77297138
0.7075,0.27,-119962814.68704072
0.7249999999999999,0.27,-126108647.60111019
0.7424999999999999,0.27,-132254480.51517966
0.76,0.27,-138400313.42924914
0.7774999999999999,0.27,-144546146.34331858
0.7949999999999999,0.27,-150691979.25738806
0.8125,0.27,-156837812.1714575
0.8299999999999998,0.27,-162983645.08552694
0.8474999999999999,0.27,-169129477.99959645
0.865,0.27,-175275310.9136658
0.8824999999999998,0.27,-181421143.82773536
0.9,0.27,-187566976.741805
0.2,0.2875,64014099.104716785
0.2175,0.2875,57868266.19064728
0.23500000000000001,0.2875,51722433.27657785
0.2525,0.2875,45576600.36250836
0.27,0.2875,39430767.44843888
0.2875,0.2875,33284934.53436945
0.305,0.2875,27139101.620299995
0.3225,0.2875,20993268.706230536
0.33999999999999997,0.2875,14847435.792161059
0.3575,0.2875,8701602.878091602
0.375,0.2875,2555769.9640221912
0.39249999999999996,0.2875,-3590062.9500473104
0.41,0.2875,-9735895.864116788
0.4275,0.2875,-15881728.778186243
0.44499999999999995,0.2875,-22027561.692255676
0.46249999999999997,0.2875,-28173394.60632518
0.48,0.2875,-34319227.520394586
0.4975,0.2875,-40465060.43446411
0.5149999999999999,0.2875,-46610893.34853355
0.5325,0.2875,-52756726.262603074
0.55,0.2875,-58902559.1766725
