parameter,low_inmb,high_inmb,base_inmb,range_width
ORIF well-state utility,95149588.25488882,7351975.196753641,45982924.94233317,87797613.05813518
THA index cost,56976924.94233317,16976924.942333005,45982924.94233317,40000000.000000164
ORIF index cost,28775924.942333102,58775924.94233311,45982924.94233317,30000000.000000007
THA 1-year mortality,57656042.68517704,34896622.090172425,45982924.94233317,22759420.59500462
ORIF 1-year mortality,34331425.25861095,55398894.284442574,45982924.94233317,21067469.025831625
Medical-complication cost,43670451.1622329,48350624.77101701,45982924.94233317,4680173.608784109
ORIF medical-complication risk,45235258.81526789,46682354.54507136,45982924.94233317,1447095.7298034728
