orif_cost,tha_cost,inmb
57400.0,15750.0,81419924.94233303
58700.0,15750.0,82719924.94233301
60000.0,15750.0,84019924.94233301
8000.0,17300.0,30469924.94233306
9300.0,17300.0,31769924.94233306
10600.0,17300.0,33069924.94233306
11900.0,17300.0,34369924.94233306
13200.0,17300.0,35669924.94233311
14500.0,17300.0,36969924.94233308
15800.0,17300.0,38269924.94233303
17100.0,17300.0,39569924.942333005
18400.0,17300.0,40869924.942333
19700.0,17300.0,42169924.94233301
21000.0,17300.0,43469924.94233301
22300.0,17300.0,44769924.94233301
23600.0,17300.0,46069924.94233301
24900.0,17300.0,47369924.942333005
26200.0,17300.0,48669924.942333005
27500.0,17300.0,49969924.942333005
28800.0,17300.0,51269924.942333005
30100.0,17300.0,52569924.942333005
31400.0,17300.0,53869924.94233301
32700.0,17300.0,55169924.94233301
34000.0,17300.0,56469924.94233301
35300.0,17300.0,57769924.94233301
36600.0,17300.0,59069924.94233301
37900.0,17300.0,60369924.94233301
39200.0,17300.0,61669924.94233301
40500.0,17300.0,62969924.94233301
41800.0,17300.0,64269924.94233301
43100.0,17300.0,65569924.94233301
44400.0,17300.0,66869924.94233301
45700.0,17300.0,68169924.94233307
47000.0,17300.0,69469924.94233304
48300.0,17300.0,70769924.94233309
49600.0,17300.0,72069924.94233307
50900.0,17300.0,73369924.94233303
52200.0,17300.0,74669924.94233306
53500.0,17300.0,75969924.94233301
54800.0,17300.0,77269924.94233304
56100.0,17300.0,78569924.94233303
57400.0,17300.0,79869924.94233303
58700.0,17300.0,81169924.94233301
60000.0,17300.0,82469924.94233301
8000.0,18850.0,28919924.94233307
9300.0,18850.0,30219924.94233307
10600.0,18850.0,31519924.94233307
11900.0,18850.0,32819924.942333065
13200.0,18850.0,34119924.94233312
14500.0,18850.0,35419924.94233309
15800.0,18850.0,36719924.942333035
17100.0,18850.0,38019924.94233301
18400.0,18850.0,39319924.942333005
19700.0,18850.0,40619924.94233302
21000.0,18850.0,41919924.94233302
22300.0,18850.0,43219924.94233302
23600.0,18850.0,44519924.94233302
24900.0,18850.0,45819924.94233301
26200.0,18850.0,47119924.94233301
27500.0,18850.0,48419924.94233301
28800.0,18850.0,49719924.94233301
30100.0,18850.0,51019924.94233301
31400.0,18850.0,52319924.94233302
32700.0,18850.0,53619924.94233302
34000.0,18850.0,54919924.94233302
35300.0,18850.0,56219924.94233302
36600.0,18850.0,57519924.94233302
37900.0,18850.0,58819924.94233302
39200.0,18850.0,60119924.94233302
40500.0,18850.0,61419924.94233302
41800.0,18850.0,62719924.94233302
43100.0,18850.0,64019924.94233302
44400.0,18850.0,65319924.94233302
45700.0,18850.0,66619924.94233308
47000.0,18850.0,67919924.94233304
48300.0,18850.0,69219924.9423331
49600.0,18850.0,70519924.94233307
50900.0,18850.0,71819924.94233304
52200.0,18850.0,73119924.94233307
53500.0,18850.0,74419924.94233301
54800.0,18850.0,75719924.94233304
56100.0,18850.0,77019924.94233304
57400.0,18850.0,78319924.94233304
58700.0,18850.0,79619924.94233301
60000.0,18850.0,80919924.94233301
8000.0,20400.0,27369924.9423331
9300.0,20400.0,28669924.9423331
10600.0,20400.0,29969924.9423331
11900.0,20400.0,31269924.942333095
13200.0,20400.0,32569924.942333147
14500.0,20400.0,33869924.94233312
15800.0,20400.0,35169924.942333065
17100.0,20400.0,36469924.94233304
18400.0,20400.0,37769924.942333035
19700.0,20400.0,39069924.94233305
21000.0,20400.0,40369924.94233305
22300.0,20400.0,41669924.94233305
23600.0,20400.0,42969924.94233305
24900.0,20400.0,44269924.94233304
26200.0,20400.0,45569924.94233304
27500.0,20400.0,46869924.94233304
28800.0,20400.0,48169924.94233304
30100.0,20400.0,49469924.94233304
31400.0,20400.0,50769924.94233305
32700.0,20400.0,52069924.94233305
34000.0,20400.0,53369924.94233305
35300.0,20400.0,54669924.94233305
36600.0,20400.0,55969924.94233305
37900.0,20400.0,57269924.94233305
39200.0,20400.0,58569924.94233305
40500.0,20400.0,59869924.94233305
41800.0,20400.0,61169924.94233305
43100.0,20400.0,62469924.94233305
44400.0,20400.0,63769924.94233305
45700.0,20400.0,65069924.94233311
47000.0,20400.0,66369924.94233308
48300.0,20400.0,67669924.94233313
49600.0,20400.0,68969924.9423331
50900.0,20400.0,70269924.94233307
52200.0,20400.0,71569924.9423331
53500.0,20400.0,72869924.94233304
54800.0,20400.0,74169924.94233307
56100.0,20400.0,75469924.94233307
57400.0,20400.0,76769924.94233307
58700.0,20400.0,78069924.94233304
60000.0,20400.0,79369924.94233304
8000.0,21950.0,25819924.9423331
9300.0,21950.0,27119924.9423331
10600.0,21950.0,28419924.9423331
11900.0,21950.0,29719924.942333095
13200.0,21950.0,31019924.942333147
14500.0,21950.0,32319924.942333117
